GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
0400000US01,01,Alabama,1811009,5492,42131,275,72.2,0.2,48767,471,25.1,0.2,27160,446,0.5,0.1,35944,4093,0.8,0.1,52148,4269,,,30329,13577,0.5,0.1,35730,4282,0.9,0.1,35407,2873,1.7,0.1,35963,1767,71.0,0.2,49029,471,5.3,0.1,21412,907,34.3,0.2,47950,639,38.2,0.2,51822,536,22.3,0.1,28207,364,1232769,6151,53144,391,43.8,0.4,51272,735,56.2,0.4,54352,396,72.5,0.3,65273,465,21.3,0.3,24066,555,6.2,0.2,37210,1157,578240,5424,22736,365,55.7,0.6,19069,363,50.3,0.6,17757,348,5.4,0.2,36187,1698,44.3,0.6,29642,873,36.9,0.6,26747,570,7.4,0.4,42359,2426,26.8,,(X),,27.4,,(X),,24.6,,(X),
0400000US02,02,Alaska,235500,1855,66293,1129,75.0,0.6,72782,1433,3.3,0.3,53464,9271,11.3,0.4,40400,2035,3.6,0.2,62376,4506,,,55637,33300,1.5,0.2,52846,6648,4.8,0.3,56190,4309,4.5,0.3,55815,4459,72.8,0.6,73272,1432,6.1,0.4,40700,1810,38.7,0.6,66499,1883,43.5,0.6,77875,1894,11.7,0.3,45005,2387,159522,2149,77020,1315,51.2,0.9,70074,2269,48.8,0.9,83789,1562,74.8,1.0,90478,1430,16.3,0.9,36296,1871,8.8,0.7,52850,2731,75978,1649,42614,1383,43.1,1.3,38700,1949,33.6,1.4,32873,1366,9.6,0.8,70929,6443,56.9,1.3,45386,1963,43.0,1.3,40425,1901,13.9,1.0,71342,6550,22.3,,(X),,23.3,,(X),,17.5,,(X),
0400000US04,04,Arizona,2250241,6372,51124,309,82.9,0.2,53134,333,3.2,0.1,41993,1345,3.3,0.1,32710,1211,2.2,0.1,62574,2073,0.1,0.1,49423,5632,6.9,0.2,41378,989,1.4,0.1,43477,2775,21.1,0.2,40239,659,69.5,0.2,56271,410,4.8,0.1,31121,1014,36.8,0.2,55289,703,36.4,0.2,61846,588,22.0,0.1,36316,371,1483518,6557,60426,388,46.0,0.3,55973,776,54.0,0.3,63652,564,74.6,0.3,70777,440,17.6,0.2,32910,659,7.7,0.2,44107,1283,766723,6660,33929,452,51.2,0.4,29809,511,42.9,0.4,26393,459,8.3,0.3,55075,1907,48.8,0.4,39223,576,37.2,0.5,34237,654,11.6,0.4,60902,1120,26.4,,(X),,26.6,,(X),,24.3,,(X),
0400000US05,05,Arkansas,1106185,4447,39127,349,80.8,0.2,42378,420,15.1,0.2,25176,779,0.6,0.1,37305,4856,0.8,0.1,47610,4814,,,33367,2849,1.4,0.1,30087,2256,1.2,0.1,29759,2010,3.4,0.1,32563,1609,79.0,0.2,42610,475,5.8,0.2,22558,1007,34.2,0.2,44277,671,37.1,0.2,46940,668,22.8,0.2,27061,440,753559,5385,48098,473,44.1,0.4,45193,838,55.9,0.4,50412,503,74.6,0.4,57589,561,19.2,0.4,22552,636,6.2,0.3,34455,1232,352626,4491,21819,318,55.1,0.7,18774,423,49.4,0.7,17234,360,5.7,0.4,37896,2255,44.9,0.7,26552,585,36.6,0.6,23998,997,8.3,0.4,42372,2136,25.5,,(X),,25.9,,(X),,23.6,,(X),
0400000US06,06,California,12177852,10381,61154,173,67.0,0.1,64518,213,6.6,0.1,43366,597,0.8,0.1,47486,1807,11.4,0.1,74667,594,0.3,0.1,65188,2559,11.8,0.1,47112,400,2.2,0.1,58275,1568,26.4,0.1,47185,295,53.4,0.1,70628,241,4.2,0.1,33221,587,38.5,0.1,64582,237,38.4,0.1,74663,318,18.9,0.1,39052,272,8289681,13412,69659,236,50.4,0.1,64180,299,49.6,0.1,74992,317,72.7,0.1,83296,270,18.8,0.1,36878,347,8.4,0.1,50924,615,3888171,16834,40894,214,52.5,0.2,34415,341,43.2,0.2,29665,315,9.3,0.1,65173,1028,47.5,0.2,48882,373,34.9,0.2,41297,310,12.7,0.2,72547,841,27.3,,(X),,28.0,,(X),,23.4,,(X),
0400000US08,08,Colorado,1866621,4334,56574,345,86.7,0.2,59148,392,3.7,0.1,38899,1931,0.9,0.1,37948,3282,2.3,0.1,60309,3751,0.1,0.1,49291,12540,4.6,0.1,39501,1483,1.7,0.1,46834,1627,14.9,0.2,37725,823,77.3,0.2,62618,391,5.6,0.1,28626,1213,39.2,0.2,60218,697,38.9,0.2,69205,622,16.2,0.1,36933,597,1200433,5262,69745,451,48.3,0.4,66128,730,51.7,0.4,73238,709,78.1,0.4,80683,500,15.1,0.3,33435,716,6.8,0.2,46235,1086,666188,5808,36101,428,50.6,0.5,31362,474,42.1,0.5,27866,531,8.5,0.3,56260,2329,49.4,0.5,41224,571,37.8,0.5,36475,665,11.6,0.4,61531,1808,21.2,,(X),,21.2,,(X),,20.2,,(X),
0400000US09,09,Connecticut,1325680,2831,68411,584,83.0,0.2,73311,584,8.6,0.1,45082,1395,0.2,0.1,42608,7854,2.9,0.1,82338,4192,,,63491,11977,4.1,0.2,38415,2310,1.2,0.1,54874,4537,9.3,0.1,40483,1505,78.2,0.2,75219,601,3.1,0.1,32778,1999,34.7,0.2,74161,961,40.6,0.2,85224,848,21.6,0.1,38915,561,889222,4590,84657,593,47.4,0.3,84474,923,52.6,0.3,84814,740,75.9,0.4,99084,885,18.2,0.4,39110,1025,5.9,0.2,58162,2281,436458,4097,39021,723,56.1,0.5,32157,708,48.2,0.5,28071,835,8.0,0.4,69745,2172,43.9,0.5,47281,1101,34.5,0.5,41203,816,9.4,0.4,78408,2691,27.5,,(X),,27.9,,(X),,25.1,,(X),
0400000US10,10,Delaware,325746,2037,57270,944,75.7,0.4,61473,1002,19.0,0.4,43081,1632,0.3,0.1,36864,12372,2.5,0.1,82782,4685,,,32188,24062,1.4,0.2,46079,8633,1.0,0.1,47518,14370,4.4,0.2,42292,3915,73.1,0.4,62292,962,4.1,0.3,32782,2523,35.1,0.5,62020,1113,38.8,0.4,70768,1787,21.9,0.3,37754,1330,220065,2471,68541,1184,43.7,0.7,66109,1646,56.3,0.7,70318,1442,73.4,0.8,81161,1122,19.6,0.7,37962,1798,7.0,0.5,46255,2928,105681,2649,35389,1332,54.3,1.1,29224,1195,46.3,1.1,26355,960,8.0,0.8,62323,4088,45.7,1.1,41929,1684,35.2,1.1,36767,1709,10.4,0.8,64551,4035,28.0,,(X),,28.1,,(X),,25.5,,(X),
0400000US11,11,District of Columbia,250423,1754,56428,1383,40.5,0.5,98437,2296,51.0,0.5,37763,1575,0.3,0.1,64241,44635,3.5,0.2,71317,6649,,,91570,58309,3.2,0.3,41350,3560,1.5,0.2,63969,16529,7.0,0.4,44650,4836,37.1,0.5,102702,2180,5.5,0.4,30149,2376,41.4,0.6,66374,2277,34.2,0.6,61926,2396,19.0,0.4,40498,1538,107697,2405,67308,3053,41.0,1.4,45729,2948,59.0,1.4,82207,2845,51.0,1.2,125611,4771,40.1,1.0,35709,2003,8.9,0.8,52889,5162,142726,2457,49996,1225,54.2,1.0,45916,1573,46.8,0.9,42261,1269,7.4,0.5,90625,7193,45.8,1.0,54558,1866,36.4,1.0,46410,2749,9.4,0.7,107736,9964,27.6,,(X),,32.8,,(X),,22.9,,(X),
0400000US12,12,Florida,7080705,13491,48637,157,81.0,0.1,51207,142,13.1,0.1,35721,419,0.3,0.1,42188,3000,1.8,0.1,59000,1967,0.1,0.1,44365,8885,2.6,0.1,43046,802,1.2,0.1,43999,1346,16.8,0.1,42595,395,67.4,0.1,52949,159,4.2,0.1,29745,737,32.6,0.1,54115,334,36.8,0.1,58361,298,26.4,0.1,34168,237,4603986,12423,58339,233,41.2,0.2,55502,459,58.8,0.2,60018,283,74.1,0.2,68268,245,18.9,0.2,32130,278,7.1,0.1,42586,720,2476719,10846,31123,186,53.8,0.3,26297,234,46.0,0.3,23341,246,7.8,0.2,52895,976,46.2,0.3,37362,346,35.0,0.2,32178,297,11.2,0.2,58285,905,28.7,,(X),,28.9,,(X),,26.9,,(X),
