year,female,male
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,5,0
1885,0,0
1886,0,0
1887,5,0
1888,5,0
1889,0,0
1890,12,0
1891,11,0
1892,10,0
1893,9,0
1894,9,0
1895,10,0
1896,8,6
1897,9,5
1898,11,0
1899,14,0
1900,20,6
1901,20,0
1902,15,0
1903,9,0
1904,11,9
1905,23,9
1906,16,5
1907,15,0
1908,15,0
1909,27,11
1910,16,8
1911,15,12
1912,34,12
1913,36,20
1914,33,25
1915,59,35
1916,55,35
1917,45,28
1918,64,35
1919,73,37
1920,64,29
1921,60,37
1922,63,40
1923,71,42
1924,54,35
1925,58,35
1926,77,51
1927,56,40
1928,59,42
1929,47,41
1930,56,37
1931,68,45
1932,68,43
1933,49,44
1934,52,45
1935,49,55
1936,49,49
1937,58,34
1938,72,41
1939,62,42
1940,74,42
1941,81,43
1942,120,56
1943,154,78
1944,122,64
1945,226,80
1946,337,64
1947,327,79
1948,386,103
1949,401,98
1950,467,87
1951,546,88
1952,692,139
1953,895,204
1954,986,252
1955,1146,261
1956,1030,286
1957,1276,445
1958,1309,641
1959,1822,773
1960,2203,733
1961,2338,731
1962,2789,824
1963,2550,902
1964,2315,1111
1965,2747,944
1966,2658,962
1967,2512,1030
1968,2689,1223
1969,2901,1567
1970,3200,2642
1971,3055,3236
1972,2814,3679
1973,2953,3911
1974,3022,4090
1975,4233,4573
1976,12539,4623
1977,12901,3446
1978,10982,2866
1979,12155,2337
1980,11522,2845
1981,10978,2356
1982,11038,2091
1983,11029,1770
1984,9761,1765
1985,11036,1630
1986,9231,1467
1987,7916,1541
1988,7181,1470
1989,6848,1472
1990,6505,1317
1991,5780,1286
1992,4704,1158
1993,4254,1111
1994,3981,953
1995,3770,792
1996,3599,686
1997,3240,654
1998,3065,606
1999,2537,519
2000,2155,455
2001,1945,462
2002,1967,425
2003,1924,410
2004,1724,443
2005,1598,435
2006,1411,420
2007,1391,362
2008,1306,363
2009,1058,366
2010,839,339
2011,710,274
2012,704,250
