occupation,level,total_est,total_moe,male_pct,male_moe,female_pct,female_moe,med_salary,med_salary_moe,med_salary_male,med_salary_male_moe,med_salary_female,med_salary_female_moe
Civilian employed population 16 years and over,0,145128676,124890,0.53,0.1,0.48,0.1,32387,32,39530,151,27627,92
"Management, business, science, and arts occupations",0,52753573,134159,0.48,0.1,0.52,0.1,52478,54,65997,129,45722,94
"Management, business, and financial occupations",1,21201006,85392,0.56,0.2,0.44,0.2,61059,111,71340,177,51203,129
Management occupations,2,14257292,63419,0.61,0.2,0.39,0.2,64994,273,74433,567,52491,377
Business and financial operations occupations,2,6943714,47408,0.45,0.3,0.55,0.3,54454,446,64574,837,49071,445
"Computer, engineering, and science occupations",1,7782601,50809,0.74,0.2,0.26,0.2,70129,200,73511,544,58110,888
Computer and mathematical occupations,2,3875030,33017,0.74,0.3,0.26,0.3,71730,259,75493,416,62745,962
Architecture and engineering occupations,2,2658394,31467,0.85,0.3,0.15,0.3,72208,268,75551,322,57996,1823
"Life, physical, and social science occupations",2,1249177,17685,0.54,0.7,0.47,0.7,53844,962,60372,670,50236,569
"Education, legal, community service, arts, and media occupations",1,15648385,68432,0.36,0.1,0.64,0.1,40384,90,47513,309,36490,126
Community and social services occupations,2,2369635,26111,0.37,0.5,0.63,0.5,37573,376,39841,662,37003,212
Legal occupations,2,1681294,24908,0.49,0.6,0.51,0.6,72063,661,101879,443,53664,1432
"Education, training, and library occupations",2,8791356,52661,0.27,0.2,0.73,0.2,38195,302,46785,298,35295,204
"Arts, design, entertainment, sports, and media occupations",2,2806100,25703,0.54,0.5,0.46,0.5,36231,284,41226,334,30875,363
Healthcare practitioner and technical occupations,1,8121581,44992,0.25,0.2,0.75,0.2,52425,144,72979,1552,50275,148
Health diagnosing and treating practitioners and other technical occupations,2,5626924,38349,0.27,0.3,0.73,0.3,62650,461,100320,368,58749,621
Health technologists and technicians,2,2494657,25558,0.22,0.4,0.78,0.4,35646,220,40620,421,34240,547
Service occupations,0,26654335,95448,0.44,0.2,0.56,0.2,17425,61,21446,85,15391,62
Healthcare support occupations,1,3752165,37363,0.13,0.3,0.87,0.3,21942,108,25193,481,21661,119
Protective service occupations,1,3190761,28192,0.78,0.4,0.22,0.4,40702,223,43238,796,31071,430
"Fire fighting and prevention, and other protective service workers including supervisors",2,1796111,21347,0.76,0.6,0.24,0.6,28697,627,31353,326,20814,466
Law enforcement workers including supervisors,2,1394650,19300,0.80,0.6,0.20,0.6,53867,960,56758,557,44899,1269
Food preparation and serving related occupations,1,8464136,60482,0.46,0.3,0.54,0.3,12858,117,15228,155,11768,57
Building and grounds cleaning and maintenance occupations,1,5853358,46469,0.60,0.4,0.40,0.4,18050,172,21528,168,14096,183
Personal care and service occupations,1,5393915,38169,0.23,0.3,0.77,0.3,15200,115,18945,524,14211,178
Sales and office occupations,0,35109334,92907,0.38,0.1,0.62,0.1,27412,58,33653,351,25266,68
Sales and related occupations,1,15688353,68562,0.50,0.2,0.50,0.2,26075,117,38567,462,17415,102
Office and administrative support occupations,1,19420981,66607,0.28,0.2,0.72,0.2,28482,128,30122,151,27981,130
"Natural resources, construction, and maintenance occupations",0,12924043,62907,0.95,0.1,0.05,0.1,33084,320,34392,338,20966,356
"Farming, fishing, and forestry occupations",1,1041894,23115,0.79,0.7,0.21,0.7,19166,453,21144,294,13435,490
Construction and extraction occupations,1,7235513,45686,0.97,0.1,0.03,0.1,31857,101,31966,107,25081,879
"Installation, maintenance, and repair occupations",1,4646636,33956,0.96,0.2,0.04,0.2,40410,137,40551,141,33451,2637
"Production, transportation, and material moving occupations",0,17687391,70493,0.78,0.2,0.22,0.2,29425,163,31660,85,21307,95
Production occupations,1,8712986,47595,0.72,0.2,0.28,0.2,30936,88,35364,144,22245,129
Transportation occupations,1,5229882,39117,0.87,0.3,0.13,0.3,31897,122,34648,486,21147,268
Material moving occupations,1,3744523,36466,0.80,0.3,0.20,0.3,21626,127,22837,311,17329,244
