GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Civilian employed population 16 years and over
HC01_MOE_VC01,Total; Margin of Error; Civilian employed population 16 years and over
HC02_EST_VC01,Male; Estimate; Civilian employed population 16 years and over
HC02_MOE_VC01,Male; Margin of Error; Civilian employed population 16 years and over
HC03_EST_VC01,Female; Estimate; Civilian employed population 16 years and over
HC03_MOE_VC01,Female; Margin of Error; Civilian employed population 16 years and over
HC04_EST_VC01,Median earnings (dollars); Estimate; Civilian employed population 16 years and over
HC04_MOE_VC01,Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over
HC05_EST_VC01,Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over
HC05_MOE_VC01,Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over
HC06_EST_VC01,Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over
HC06_MOE_VC01,Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over
HC01_EST_VC02,"Total; Estimate; Management, business, science, and arts occupations:"
HC01_MOE_VC02,"Total; Margin of Error; Management, business, science, and arts occupations:"
HC02_EST_VC02,"Male; Estimate; Management, business, science, and arts occupations:"
HC02_MOE_VC02,"Male; Margin of Error; Management, business, science, and arts occupations:"
HC03_EST_VC02,"Female; Estimate; Management, business, science, and arts occupations:"
HC03_MOE_VC02,"Female; Margin of Error; Management, business, science, and arts occupations:"
HC04_EST_VC02,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations:"
HC04_MOE_VC02,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations:"
HC05_EST_VC02,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations:"
HC05_MOE_VC02,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations:"
HC06_EST_VC02,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations:"
HC06_MOE_VC02,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations:"
HC01_EST_VC03,"Total; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC01_MOE_VC03,"Total; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC02_EST_VC03,"Male; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC02_MOE_VC03,"Male; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC03_EST_VC03,"Female; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC03_MOE_VC03,"Female; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC04_EST_VC03,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC04_MOE_VC03,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC05_EST_VC03,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC05_MOE_VC03,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC06_EST_VC03,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC06_MOE_VC03,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC01_EST_VC04,"Total; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC01_MOE_VC04,"Total; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC02_EST_VC04,"Male; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC02_MOE_VC04,"Male; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC03_EST_VC04,"Female; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC03_MOE_VC04,"Female; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC04_EST_VC04,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC04_MOE_VC04,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC05_EST_VC04,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC05_MOE_VC04,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC06_EST_VC04,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC06_MOE_VC04,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC01_EST_VC05,"Total; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC01_MOE_VC05,"Total; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC02_EST_VC05,"Male; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC02_MOE_VC05,"Male; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC03_EST_VC05,"Female; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC03_MOE_VC05,"Female; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC04_EST_VC05,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC04_MOE_VC05,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC05_EST_VC05,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC05_MOE_VC05,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC06_EST_VC05,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC06_MOE_VC05,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC01_EST_VC06,"Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC01_MOE_VC06,"Total; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC02_EST_VC06,"Male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC02_MOE_VC06,"Male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC03_EST_VC06,"Female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC03_MOE_VC06,"Female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC04_EST_VC06,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC04_MOE_VC06,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC05_EST_VC06,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC05_MOE_VC06,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC06_EST_VC06,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC06_MOE_VC06,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC01_EST_VC07,"Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC01_MOE_VC07,"Total; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC02_EST_VC07,"Male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC02_MOE_VC07,"Male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC03_EST_VC07,"Female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC03_MOE_VC07,"Female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC04_EST_VC07,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC04_MOE_VC07,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC05_EST_VC07,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC05_MOE_VC07,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC06_EST_VC07,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC06_MOE_VC07,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC01_EST_VC08,"Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC01_MOE_VC08,"Total; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC02_EST_VC08,"Male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC02_MOE_VC08,"Male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC03_EST_VC08,"Female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC03_MOE_VC08,"Female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC04_EST_VC08,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC04_MOE_VC08,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC05_EST_VC08,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC05_MOE_VC08,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC06_EST_VC08,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC06_MOE_VC08,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC01_EST_VC09,"Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC01_MOE_VC09,"Total; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC02_EST_VC09,"Male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC02_MOE_VC09,"Male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC03_EST_VC09,"Female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC03_MOE_VC09,"Female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC04_EST_VC09,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC04_MOE_VC09,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC05_EST_VC09,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC05_MOE_VC09,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC06_EST_VC09,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC06_MOE_VC09,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC01_EST_VC10,"Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC01_MOE_VC10,"Total; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC02_EST_VC10,"Male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC02_MOE_VC10,"Male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC03_EST_VC10,"Female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC03_MOE_VC10,"Female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC04_EST_VC10,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC04_MOE_VC10,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC05_EST_VC10,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC05_MOE_VC10,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC06_EST_VC10,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC06_MOE_VC10,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC01_EST_VC11,"Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC01_MOE_VC11,"Total; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC02_EST_VC11,"Male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC02_MOE_VC11,"Male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC03_EST_VC11,"Female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC03_MOE_VC11,"Female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC04_EST_VC11,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC04_MOE_VC11,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC05_EST_VC11,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC05_MOE_VC11,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC06_EST_VC11,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC06_MOE_VC11,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC01_EST_VC12,"Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC01_MOE_VC12,"Total; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC02_EST_VC12,"Male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC02_MOE_VC12,"Male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC03_EST_VC12,"Female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC03_MOE_VC12,"Female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC04_EST_VC12,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC04_MOE_VC12,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
