GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
0500000US01001,01001,"Autauga County, Alabama",30868,947,38889,3233,25257,1601
0500000US01003,01003,"Baldwin County, Alabama",26948,943,34378,2280,21597,871
0500000US01005,01005,"Barbour County, Alabama",21996,1459,26741,1753,18329,1412
0500000US01007,01007,"Bibb County, Alabama",23529,2866,29801,2152,16334,1701
0500000US01009,01009,"Blount County, Alabama",30090,1803,33832,1643,23295,2281
0500000US01011,01011,"Bullock County, Alabama",21709,2387,24475,6396,18344,2683
0500000US01013,01013,"Butler County, Alabama",24441,2130,29935,3926,19690,1406
0500000US01015,01015,"Calhoun County, Alabama",23991,1036,31579,1110,18413,1054
0500000US01017,01017,"Chambers County, Alabama",25570,1576,29946,4098,23250,2432
0500000US01019,01019,"Cherokee County, Alabama",27110,2045,30943,1444,21538,1660
0500000US01021,01021,"Chilton County, Alabama",30101,1520,33760,2166,23328,2442
0500000US01023,01023,"Choctaw County, Alabama",25655,1766,40061,6524,19080,1580
0500000US01025,01025,"Clarke County, Alabama",27557,2378,41081,3054,19972,2618
0500000US01027,01027,"Clay County, Alabama",24940,2265,29063,3326,21012,3054
0500000US01029,01029,"Cleburne County, Alabama",27474,2445,32478,4498,22014,3033
0500000US01031,01031,"Coffee County, Alabama",27562,1342,36744,3019,20558,1345
0500000US01033,01033,"Colbert County, Alabama",26303,1203,32711,2072,20895,1336
0500000US01035,01035,"Conecuh County, Alabama",21372,1965,30100,8089,17906,1430
0500000US01037,01037,"Coosa County, Alabama",24573,2019,29278,4445,18971,2787
0500000US01039,01039,"Covington County, Alabama",23707,1528,28615,2454,18676,1197
0500000US01041,01041,"Crenshaw County, Alabama",26165,1105,30822,1223,19821,2555
0500000US01043,01043,"Cullman County, Alabama",26290,696,30636,821,22278,1476
0500000US01045,01045,"Dale County, Alabama",26724,828,33171,2099,21150,963
0500000US01047,01047,"Dallas County, Alabama",21133,1492,28267,2553,17523,1540
0500000US01049,01049,"DeKalb County, Alabama",24214,1185,28531,1165,19830,1124
0500000US01051,01051,"Elmore County, Alabama",30968,1113,39939,2602,23817,1571
0500000US01053,01053,"Escambia County, Alabama",25150,1966,30659,1729,20049,1510
0500000US01055,01055,"Etowah County, Alabama",25129,907,30377,1409,19941,951
0500000US01057,01057,"Fayette County, Alabama",22216,2501,30715,2966,16917,1551
0500000US01059,01059,"Franklin County, Alabama",24881,1366,29868,3231,20180,1486
0500000US01061,01061,"Geneva County, Alabama",23969,1589,26309,1977,21371,1592
0500000US01063,01063,"Greene County, Alabama",19917,2290,20591,1956,18899,3429
0500000US01065,01065,"Hale County, Alabama",22045,1692,23772,3544,20605,2761
0500000US01067,01067,"Henry County, Alabama",26614,1711,33150,2999,21910,2328
0500000US01069,01069,"Houston County, Alabama",26269,468,32837,920,21162,491
0500000US01071,01071,"Jackson County, Alabama",25174,957,30335,1171,20879,888
0500000US01073,01073,"Jefferson County, Alabama",30199,363,34670,950,25913,472
0500000US01075,01075,"Lamar County, Alabama",25761,1520,30631,2390,18867,4743
0500000US01077,01077,"Lauderdale County, Alabama",25636,908,33010,2200,19389,1278
0500000US01079,01079,"Lawrence County, Alabama",27071,1840,36780,1972,18175,1281
0500000US01081,01081,"Lee County, Alabama",22513,1004,26814,1051,18752,983
0500000US01083,01083,"Limestone County, Alabama",29654,1575,35677,1571,22117,1226
0500000US01085,01085,"Lowndes County, Alabama",22218,1665,28750,4854,18903,1373
