Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
World,WLD,50.76101303,,,,,53.98690879,,,,,57.60103076,,,,,59.39263331,,,,,60.88545028,61.14776899,61.42274837,61.63484915,61.87170032,62.13293491,62.45411182,62.71830071,62.93637845,63.15262043,63.33468962,63.51141465,63.66850709,63.75027145,63.90794673,64.08666718,64.34908496,64.60381033,64.80676193,64.98231088,65.19298226,65.42270104,65.61473598,65.83069475,66.09485593,66.30250917,66.5848819,66.8505477,67.09668311,67.3692708
Afghanistan,AFG,31.436,31.767,32.113,32.475,32.853,33.245,33.646,34.055,34.466,34.878,35.295,35.718,36.152,36.594,37.04,37.482,37.91,38.318,38.7,39.056,39.389,39.705,40.013,40.319,40.626,40.934,41.24,41.539,41.828,42.109,42.384,42.656,42.929,43.206,43.489,43.777,44.069,44.362,44.655,44.944,45.227,45.498,45.759,46.01,46.259,46.513,46.783,47.078,47.401,47.753
Albania,ALB,61.309,62.272,63.116,63.811,64.345,64.727,64.983,65.164,65.314,65.457,65.607,65.766,65.923,66.074,66.223,66.379,66.546,66.728,66.925,67.14,67.376,67.639,67.921,68.212,68.496,68.741,68.912,68.992,68.984,68.903,68.783,68.671,68.614,68.647,68.787,69.042,69.404,69.839,70.31,70.795,71.268,71.71,72.11,72.463,72.764,73.012,73.215,73.39,73.551,73.705
Algeria,DZA,45.961,46.493,47.043,47.613,48.203,48.81,49.428,50.05,50.673,51.294,51.919,52.553,53.202,53.868,54.55,55.238,55.919,56.585,57.236,57.877,58.531,59.229,59.988,60.809,61.676,62.556,63.406,64.183,64.857,65.418,65.863,66.208,66.487,66.736,66.973,67.221,67.494,67.792,68.113,68.455,68.811,69.166,69.506,69.819,70.101,70.352,70.577,70.787,70.991,71.193
Angola,AGO,31.539,31.935,32.331,32.726,33.121,33.516,33.912,34.31,34.709,35.108,35.508,35.911,36.315,36.714,37.102,37.469,37.805,38.102,38.357,38.568,38.734,38.859,38.952,39.021,39.075,39.114,39.133,39.137,39.134,39.141,39.178,39.264,39.416,39.646,39.965,40.388,40.926,41.567,42.287,43.063,43.862,44.646,45.389,46.068,46.672,47.196,47.653,48.067,48.464,48.852
Antigua and Barbuda,ATG,60.5,,,,,,,,,,65,,,,,,,,,,,,70.37,,,,,70.94,,,,,71.5,,,,,72,,,,,72.5,,,,,,,
Argentina,ARG,62.381,62.422,62.439,62.447,62.462,62.501,62.579,62.698,62.861,63.066,63.309,63.582,63.869,64.158,64.444,64.726,65.005,65.286,65.571,65.857,66.134,66.393,66.628,66.837,67.022,67.187,67.342,67.498,67.662,67.839,68.03,68.235,68.447,68.662,68.876,69.089,69.298,69.503,69.705,69.902,70.097,70.29,70.483,70.676,70.869,71.06,71.249,71.434,71.614,71.788
Armenia,ARM,62.852,63.274,63.701,64.131,64.562,64.994,65.425,65.852,66.263,66.647,66.982,67.245,67.428,67.532,67.563,67.548,67.522,67.513,67.536,67.587,67.644,67.668,67.624,67.489,67.261,66.941,66.54,66.094,65.648,65.237,64.907,64.699,64.63,64.703,64.916,65.259,65.707,66.217,66.747,67.272,67.767,68.22,68.634,69.014,69.353,69.649,69.903,70.121,70.314,70.487
Aruba,ABW,64.084,64.429,64.747,65.053,65.356,65.66,65.959,66.242,66.503,66.745,66.972,67.19,67.405,67.626,67.857,68.11,68.394,68.706,69.041,69.387,69.726,70.036,70.301,70.51,70.66,70.757,70.814,70.851,70.886,70.924,70.969,71.018,71.062,71.098,71.126,71.148,71.167,71.187,71.214,71.251,71.304,71.378,71.472,71.586,71.718,71.864,72.02,72.18,72.339,72.493
Australia,AUS,67.78571429,67.9,67.84,67.78,67.72,67.66,67.6,67.64,67.68,67.72,67.76,67.8,68.16,68.52,68.88,69.24,69.6,69.92,70.24,70.56,70.88,71.2,71.5,71.8,72.1,72.4,72.7,73.02,73.34,73.66,73.98,74.3,74.5,75,75,75,75.2,75.7,75.9,76.2,76.6,77,77.4,77.8,78.1,78.5,78.7,79,79.2,79.3
