Cause of death	Under 1 year	1 to 4 years	5 to 14 years	15 to 24 years	25 to 34 years 	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
Certain other intestinal infections	11	14	5	5	15	36	122	325	915	2446	2864
Septicemia	283	78	74	160	297	910	2431	4231	6345	10403	9614
Viral hepatitis	1	1	0	14	72	489	2815	2413	871	570	161
Human immunodeficiency virus (HIV) disease	5	4	10	160	1091	3572	4156	1721	448	109	16
Other and unspecified infectious and parasitic diseases and their sequelae	154	63	51	97	136	229	511	919	1098	1463	1104
"..Malignant neoplasms of lip, oral cavity and pharynx"	0	0	1	18	44	251	1136	2019	1915	1741	942
..Malignant neoplasm of esophagus	0	0	0	5	28	246	1452	3379	3726	3376	1380
..Malignant neoplasm of stomach	1	0	0	14	127	456	1151	1879	2555	3255	1950
"..Malignant neoplasms of colon, rectum and anus"	0	0	1	35	275	1302	4793	9058	11634	15417	11069
..Malignant neoplasms of liver and intrahepatic bile ducts	6	19	25	38	90	368	2503	4181	3884	4266	1766
..Malignant neoplasm of pancreas	0	0	2	5	52	538	2808	6507	8671	10317	5217
..Malignant neoplasm of larynx	0	0	0	2	2	55	450	932	989	871	333
"..Malignant neoplasms of trachea, bronchus and lung"	1	1	4	25	135	1852	12480	31216	48157	48358	16528
..Malignant melanoma of skin	0	1	2	31	175	466	1174	1742	1737	2035	1098
..Malignant neoplasm of breast	0	0	0	15	344	2184	5990	8756	8179	9075	6426
..Malignant neoplasm of cervix uteri 	0	0	0	8	183	645	915	892	611	506	261
"..Malignant neoplasms of corpus uteri and uterus, part unspecified"	0	0	0	2	31	168	584	1583	2021	1960	1107
..Malignant neoplasm of ovary	0	0	0	28	79	352	1532	2997	3616	3946	2071
..Malignant neoplasm of prostate	0	1	0	1	1	21	428	2271	5716	11257	9397
..Malignant neoplasms of kidney and renal pelvis	2	9	25	34	50	240	1243	2584	3159	3539	1818
..Malignant neoplasm of bladder	1	0	0	0	7	93	570	1564	2817	5009	3782
"..Malignant neoplasms of meninges, brain and other parts of central nervous system"	15	109	302	204	369	845	1916	2975	3002	2608	889
....Hodgkin's disease	0	0	3	65	120	135	145	176	209	286	132
....Non-Hodgkins lymphoma	2	5	33	133	206	516	1392	2922	4476	6868	3975
....Leukemia	21	106	314	428	438	657	1362	2801	4611	6858	4228
....Multiple myeloma and immunoproliferative neoplasms	0	0	0	2	7	155	705	1788	2917	3853	1879
..All other and unspecified malignant neoplasms	20	113	245	558	700	1742	5436	10942	13854	18188	11394
"In situ neoplasms, benign neoplasms and neoplasms of  uncertain or unknown behavior"	59	59	84	81	138	340	699	1416	2402	4717	4209
Anemias	17	17	32	90	136	187	255	322	560	1224	1989
Diabetes mellitus	7	5	21	168	610	1984	5753	11304	15112	21189	15227
Nutritional deficiencies 	7	5	3	4	19	36	93	201	333	808	1343
Malnutrition	6	2	3	4	18	35	87	188	314	755	1232
Parkinson's disease	0	0	0	2	2	12	60	396	2310	9363	7911
Alzheimer's disease	0	0	0	0	1	8	95	728	3984	23009	46804
....Acute rheumatic fever and chronic rheumatic heart diseases	2	1	1	12	28	70	177	337	529	1055	989
....Hypertensive heart disease	1	1	0	44	338	1372	3604	4487	4009	6324	10598
....Hypertensive heart and renal disease	0	0	0	5	32	77	178	293	379	792	1231
....Ischemic heart diseases	24	8	21	151	1048	6219	24390	46164	63027	116152	149126
......Acute myocardial infarction	10	4	11	54	400	2402	9467	17835	23441	37629	41711
......Other acute ischemic heart diseases	2	0	0	3	17	109	376	679	740	1021	1145
......Other forms of chronic ischemic heart disease	12	4	10	94	631	3708	14547	27650	38846	77502	106270
"........Atherosclerotic cardiovascular disease, so described"	1	0	0	17	211	1395	5910	10055	9884	14221	17347
........All other forms of chronic ischemic heart disease	11	4	10	77	420	2313	8637	17595	28962	63281	88923
    Other heart diseases	397	163	219	872	1777	4101	9085	14246	21645	46934	73305
......Acute and subacute endocarditis	3	1	1	9	32	95	198	207	236	308	134
......Heart failure	21	11	12	43	87	317	1073	2758	5749	15935	30558
......All other forms of heart disease	348	132	182	772	1605	3602	7698	11158	15541	30554	42497
..Essential (primary) hypertension and hypertensive	1	1	0	23	85	384	1235	2124	3133	6442	10536
..Cerebrovascular diseases	132	52	83	195	505	2133	6385	10500	18007	41979	55975
..Atherosclerosis	1	0	0	2	1	27	134	350	829	2298	4590
..Other diseases of circulatory system	13	4	14	65	136	484	1092	2296	4065	7074	6694
....Aortic aneurysm and dissection	1	0	7	38	99	364	752	1483	2616	4346	3279
"....Other diseases of arteries, arterioles and capillaries"	12	4	7	27	37	120	340	813	1449	2728	3415
..Other disorders of circulatory system	53	3	6	40	120	322	570	586	552	888	960
